DS_GASTO_NIVEL1,SG_PARTIDO,NM_PARTIDO,gasto,reais
ADIANTAMENTOS DIVERSOS,AVANTE,AVANTE,1435.2,"R$ 1.435,20"
ADIANTAMENTOS DIVERSOS,DC,DEMOCRACIA CRISTÃ,442.35,"R$ 442,35"
ADIANTAMENTOS DIVERSOS,DEM,DEMOCRATAS,10548.77,"R$ 10.548,77"
ADIANTAMENTOS DIVERSOS,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,76109.2,"R$ 76.109,20"
ADIANTAMENTOS DIVERSOS,NOVO,PARTIDO NOVO,71244.36,"R$ 71.244,36"
ADIANTAMENTOS DIVERSOS,PATRI,PATRIOTA,1120,"R$ 1.120,00"
ADIANTAMENTOS DIVERSOS,PCDOB,PARTIDO COMUNISTA DO BRASIL,79034.7,"R$ 79.034,70"
ADIANTAMENTOS DIVERSOS,PDT,PARTIDO DEMOCRÁTICO TRABALHISTA,34858.86,"R$ 34.858,86"
ADIANTAMENTOS DIVERSOS,PHS,PARTIDO HUMANISTA DA SOLIDARIEDADE,1597249.61,"R$ 1.597.249,61"
ADIANTAMENTOS DIVERSOS,PL,PARTIDO LIBERAL,643.87,"R$ 643,87"
ADIANTAMENTOS DIVERSOS,PMN,PARTIDO DA MOBILIZAÇÃO NACIONAL,12666.97,"R$ 12.666,97"
ADIANTAMENTOS DIVERSOS,PP,PROGRESSISTAS,15319.58,"R$ 15.319,58"
ADIANTAMENTOS DIVERSOS,PPS,PARTIDO POPULAR SOCIALISTA,100237.57,"R$ 100.237,57"
ADIANTAMENTOS DIVERSOS,PROS,PARTIDO REPUBLICANO DA ORDEM SOCIAL,1301.08,"R$ 1.301,08"
ADIANTAMENTOS DIVERSOS,PRP,PARTIDO REPUBLICANO PROGRESSISTA,679.31,"R$ 679,31"
ADIANTAMENTOS DIVERSOS,PSB,PARTIDO SOCIALISTA BRASILEIRO,137191.34,"R$ 137.191,34"
ADIANTAMENTOS DIVERSOS,PSC,PARTIDO SOCIAL CRISTÃO,9056.1,"R$ 9.056,10"
ADIANTAMENTOS DIVERSOS,PSD,PARTIDO SOCIAL DEMOCRÁTICO,24765.3,"R$ 24.765,30"
ADIANTAMENTOS DIVERSOS,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,82839.61,"R$ 82.839,61"
ADIANTAMENTOS DIVERSOS,PSOL,PARTIDO SOCIALISMO E LIBERDADE,29506.4,"R$ 29.506,40"
ADIANTAMENTOS DIVERSOS,PT,PARTIDO DOS TRABALHADORES,575441.51,"R$ 575.441,51"
ADIANTAMENTOS DIVERSOS,PTB,PARTIDO TRABALHISTA BRASILEIRO,3703.62,"R$ 3.703,62"
ADIANTAMENTOS DIVERSOS,PTC,PARTIDO TRABALHISTA CRISTÃO,102000,"R$ 102.000,00"
ADIANTAMENTOS DIVERSOS,PV,PARTIDO VERDE,11928.32,"R$ 11.928,32"
ADIANTAMENTOS DIVERSOS,REDE,REDE SUSTENTABILIDADE,16367.94,"R$ 16.367,94"
ADIANTAMENTOS DIVERSOS,REPUBLICANOS,REPUBLICANOS,451906.28,"R$ 451.906,28"
ADIANTAMENTOS DIVERSOS,SDD,SOLIDARIEDADE,1264.72,"R$ 1.264,72"
ÁGUA E ESGOTO,AVANTE,AVANTE,1282.99,"R$ 1.282,99"
ÁGUA E ESGOTO,DC,DEMOCRACIA CRISTÃ,8842.58,"R$ 8.842,58"
ÁGUA E ESGOTO,DEM,DEMOCRATAS,22535.62,"R$ 22.535,62"
ÁGUA E ESGOTO,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,108277.91,"R$ 108.277,91"
ÁGUA E ESGOTO,NOVO,PARTIDO NOVO,745.8,"R$ 745,80"
ÁGUA E ESGOTO,PATRI,PATRIOTA,1558.71,"R$ 1.558,71"
ÁGUA E ESGOTO,PCB,PARTIDO COMUNISTA BRASILEIRO,1095.29,"R$ 1.095,29"
ÁGUA E ESGOTO,PCDOB,PARTIDO COMUNISTA DO BRASIL,48087.48,"R$ 48.087,48"
ÁGUA E ESGOTO,PDT,PARTIDO DEMOCRÁTICO TRABALHISTA,70034.8,"R$ 70.034,80"
ÁGUA E ESGOTO,PHS,PARTIDO HUMANISTA DA SOLIDARIEDADE,10607.55,"R$ 10.607,55"
ÁGUA E ESGOTO,PL,PARTIDO LIBERAL,36513.69,"R$ 36.513,69"
ÁGUA E ESGOTO,PMB,PARTIDO DA MULHER BRASILEIRA,64.52,"R$ 64,52"
ÁGUA E ESGOTO,PMN,PARTIDO DA MOBILIZAÇÃO NACIONAL,720,"R$ 720,00"
ÁGUA E ESGOTO,PODE,PODEMOS,8679.06,"R$ 8.679,06"
ÁGUA E ESGOTO,PP,PROGRESSISTAS,36660.77,"R$ 36.660,77"
ÁGUA E ESGOTO,PPL,PARTIDO PÁTRIA LIVRE,998.89,"R$ 998,89"
ÁGUA E ESGOTO,PPS,PARTIDO POPULAR SOCIALISTA,16024.04,"R$ 16.024,04"
ÁGUA E ESGOTO,PROS,PARTIDO REPUBLICANO DA ORDEM SOCIAL,18532.86,"R$ 18.532,86"
ÁGUA E ESGOTO,PRP,PARTIDO REPUBLICANO PROGRESSISTA,3367.12,"R$ 3.367,12"
ÁGUA E ESGOTO,PRTB,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,13020.39,"R$ 13.020,39"
ÁGUA E ESGOTO,PSB,PARTIDO SOCIALISTA BRASILEIRO,38872.14,"R$ 38.872,14"
ÁGUA E ESGOTO,PSC,PARTIDO SOCIAL CRISTÃO,12103.46,"R$ 12.103,46"
ÁGUA E ESGOTO,PSD,PARTIDO SOCIAL DEMOCRÁTICO,26588.75,"R$ 26.588,75"
ÁGUA E ESGOTO,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,70709.6,"R$ 70.709,60"
ÁGUA E ESGOTO,PSL,PARTIDO SOCIAL LIBERAL,4418.14,"R$ 4.418,14"
ÁGUA E ESGOTO,PSOL,PARTIDO SOCIALISMO E LIBERDADE,16761.99,"R$ 16.761,99"
ÁGUA E ESGOTO,PSTU,PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,15092.8,"R$ 15.092,80"
ÁGUA E ESGOTO,PT,PARTIDO DOS TRABALHADORES,160756.35,"R$ 160.756,35"
ÁGUA E ESGOTO,PTB,PARTIDO TRABALHISTA BRASILEIRO,24494.04,"R$ 24.494,04"
ÁGUA E ESGOTO,PTC,PARTIDO TRABALHISTA CRISTÃO,2600.97,"R$ 2.600,97"
ÁGUA E ESGOTO,PV,PARTIDO VERDE,22199.13,"R$ 22.199,13"
ÁGUA E ESGOTO,REDE,REDE SUSTENTABILIDADE,5002.2,"R$ 5.002,20"
ÁGUA E ESGOTO,REPUBLICANOS,REPUBLICANOS,24842.33,"R$ 24.842,33"
ÁGUA E ESGOTO,SDD,SOLIDARIEDADE,13151.8,"R$ 13.151,80"
ALISTAMENTO,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,89230.84,"R$ 89.230,84"
ALISTAMENTO,PCDOB,PARTIDO COMUNISTA DO BRASIL,51450,"R$ 51.450,00"
