Cod_setor,Situacao_setor,V062,V063,V064,V065,V066,V067,V068,V069,V070,V071,V072,V073,V074,V075,V076,V077,V078,V079,V080,V081,V082,V083,V084,V085,V086,V087,V088,V089,V090,V091,V092,V093,V094,V095,V096,V097,V098,V099,homens,mulheres
250010605000001,1,54,60,62,35,20,18,28,5,1,0,0,0,0,49,30,11,4,1,0,41,25,26,16,14,9,26,25,10,5,0,1,0,16,6,1,1,0,0,378,222
250010605000002,1,13,27,21,9,3,5,11,0,0,0,0,0,0,13,21,5,2,1,0,13,18,5,3,4,6,10,6,7,1,0,0,0,7,1,1,0,0,0,131,82
250010605000003,1,36,45,33,18,7,4,13,2,1,0,0,0,0,34,17,6,1,1,0,50,29,13,12,7,1,27,28,6,2,0,0,0,22,5,0,0,0,0,218,202
250010605000004,8,25,38,36,26,16,18,14,1,0,0,0,0,0,24,14,5,3,0,0,11,9,5,3,1,9,6,9,4,1,1,0,1,2,2,0,0,0,0,220,64
250010605000005,5,24,28,17,10,5,6,12,1,0,0,0,0,0,23,14,5,0,0,0,17,32,12,11,6,6,13,14,13,3,0,0,1,3,2,0,0,0,0,145,133
250010605000006,8,7,15,18,8,4,11,6,1,0,0,0,0,0,6,11,4,1,1,0,18,22,21,11,8,3,5,15,9,5,2,0,0,3,4,0,0,0,0,93,126
250010605000007,8,14,20,20,2,5,4,2,0,0,0,0,0,0,14,10,6,0,0,0,5,7,9,4,0,3,3,3,4,0,0,0,1,2,0,1,0,0,0,97,42
250010605000008,8,11,27,22,17,7,13,4,0,0,0,0,0,0,11,11,8,1,0,0,5,4,10,4,3,2,2,4,2,2,0,0,0,1,0,0,0,0,0,132,39
250010605000009,8,20,23,25,23,18,23,5,1,0,0,0,0,0,19,12,6,1,0,0,7,8,8,6,2,6,7,6,5,1,1,1,1,1,0,2,0,0,0,176,62
250010605000010,8,18,27,31,13,9,13,3,0,1,0,0,0,0,18,8,2,0,0,0,1,2,5,12,0,3,7,1,0,2,2,0,0,0,1,0,0,0,0,143,36
250010605000011,1,46,59,48,31,8,10,11,2,0,0,0,0,0,44,24,7,4,0,0,28,25,27,19,4,3,11,18,8,5,1,0,0,10,1,0,0,0,0,294,160
250010605000012,5,5,13,10,5,2,1,0,0,0,0,0,0,0,5,6,2,1,0,0,5,2,3,1,1,0,1,2,1,0,0,0,0,3,0,0,0,0,0,50,19
250010605000013,5,2,5,6,0,4,4,3,0,0,0,0,0,0,2,1,2,0,0,0,2,3,2,1,1,3,2,2,2,0,0,0,0,0,0,0,0,0,0,29,18
250010605000014,8,20,17,19,12,8,20,4,0,0,0,0,0,0,20,5,1,1,0,0,4,3,6,5,6,9,5,2,3,1,0,0,2,2,0,0,1,0,0,127,49
250020505000001,1,32,52,51,26,11,8,13,1,0,0,0,0,0,31,23,15,3,0,0,32,36,13,8,5,0,26,17,16,2,2,0,0,15,5,1,0,0,0,266,178
250020505000002,1,35,45,39,11,5,2,16,1,1,0,0,0,0,34,20,6,0,0,0,23,18,13,4,4,0,21,16,6,1,0,0,0,7,4,3,0,0,0,215,120
250020505000003,8,14,21,28,8,3,2,4,0,0,0,0,0,0,14,12,6,1,0,0,5,5,4,3,1,0,3,3,2,0,0,0,0,2,0,1,0,0,0,113,29
250020505000004,8,18,19,21,6,2,6,4,1,0,0,0,0,0,17,5,2,1,0,0,2,0,1,0,1,0,5,2,0,0,0,0,0,0,0,0,0,0,0,102,11
250020505000005,8,4,7,8,4,1,3,5,0,0,0,0,0,0,4,4,2,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,43,4
250020505000006,8,14,25,30,16,14,10,4,0,1,0,0,0,0,14,9,7,0,1,0,9,9,6,3,4,4,4,5,2,1,1,0,0,4,5,0,0,0,0,145,57
250020505000007,8,20,25,20,15,7,5,8,0,1,0,0,0,0,20,7,5,2,0,0,11,5,5,1,0,0,3,3,0,1,0,0,0,8,0,1,0,0,0,135,38
250020505000008,8,10,15,14,7,1,1,5,1,0,0,0,0,0,9,6,0,1,0,0,1,1,1,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,70,8
250020505000009,8,26,38,35,22,9,12,19,4,1,0,0,0,0,22,19,6,0,0,1,15,14,9,4,5,6,15,11,1,3,0,0,0,4,4,1,0,0,0,214,92
250020505000010,8,2,0,1,2,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,2
250020505000011,1,48,65,41,24,5,5,15,3,1,0,0,0,0,45,31,15,1,1,1,30,20,23,14,6,0,18,21,11,2,0,0,0,9,0,3,0,0,0,301,157
250030405000001,1,35,24,31,15,5,1,17,4,0,0,0,0,0,31,8,6,1,1,0,30,30,15,8,6,2,17,18,6,3,2,0,0,12,4,1,2,0,0,179,156
250030405000002,1,32,47,33,29,6,6,27,1,0,0,0,0,0,31,20,7,4,0,0,44,39,19,11,5,11,36,31,9,7,1,0,0,13,7,1,1,0,0,243,235
250030405000003,1,31,49,41,24,8,4,17,1,0,0,0,0,0,30,21,5,6,0,0,19,36,17,10,5,2,31,13,9,4,0,0,0,6,10,1,0,0,0,237,163
250030405000004,1,13,23,14,10,9,0,3,1,0,0,0,0,0,12,11,2,2,0,0,14,13,8,8,2,4,13,7,4,0,0,0,0,7,3,2,0,0,0,100,85
250030405000005,1,24,30,25,19,6,4,8,2,0,0,0,0,0,22,17,8,3,0,1,20,12,10,3,5,1,11,12,3,1,0,0,0,8,2,0,0,0,0,169,88
250030405000006,1,14,20,19,11,4,4,7,1,0,0,0,0,0,13,11,6,0,0,0,21,14,13,9,5,2,12,14,4,1,0,0,0,7,2,1,0,0,0,110,105
250030405000007,1,24,46,40,14,3,4,4,0,1,0,0,0,0,24,25,13,1,0,0,13,12,12,11,1,3,15,7,5,1,4,0,0,6,1,2,1,0,0,199,94
250030405000008,1,28,18,54,27,9,2,7,2,0,0,0,0,0,26,6,12,3,2,0,17,30,14,10,6,5,14,10,7,6,0,0,0,7,5,1,1,0,0,196,133
250030405000009,1,33,53,37,34,10,7,17,6,0,0,0,0,0,27,27,13,0,1,0,32,35,26,10,8,4,11,15,8,3,0,0,0,17,11,8,1,0,0,265,189
250030405000010,1,44,29,51,25,8,7,22,2,0,0,1,0,0,42,13,12,3,1,0,41,40,23,17,9,6,38,30,11,3,2,0,0,11,7,2,0,0,0,260,240
250030405000011,1,8,3,1,4,1,0,15,2,0,0,0,0,0,6,1,0,1,0,0,22,20,21,10,8,8,13,15,9,5,2,0,0,7,2,0,0,0,0,42,142
250030405000012,1,28,29,36,18,11,3,7,3,0,0,0,0,0,25,12,5,2,0,0,14,10,14,4,4,0,9,7,4,1,0,0,0,7,1,1,0,0,0,179,76
250030405000013,1,20,25,21,17,8,7,4,0,0,0,0,0,0,20,14,5,1,1,0,20,15,7,9,2,2,5,10,3,2,0,0,0,10,2,1,0,0,0,143,88
250030405000014,1,4,5,4,3,0,1,3,0,0,0,0,0,0,4,4,0,0,0,0,11,10,8,9,7,5,1,11,4,2,0,2,0,0,0,1,0,0,0,28,71
250030405000015,1,44,32,33,27,12,11,18,4,0,0,0,0,0,40,12,6,3,0,0,35,26,30,10,11,14,24,23,8,4,2,2,0,12,1,1,0,0,0,242,203
250030405000016,8,25,29,22,15,7,11,18,2,0,0,0,0,0,23,11,4,3,1,0,19,28,29,36,21,24,5,15,12,7,10,2,1,4,3,0,0,0,0,171,216
250030405000017,8,4,7,4,5,2,5,2,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37,3
250030405000018,5,49,60,58,38,13,9,25,7,0,0,0,0,0,42,35,13,3,2,0,31,23,18,10,4,8,28,19,10,5,3,0,0,12,4,2,0,0,0,354,177
250030405000019,5,19,32,20,12,9,10,3,2,0,0,0,0,0,17,17,4,3,0,0,6,10,5,5,3,2,9,3,4,0,0,0,0,3,2,2,0,0,0,148,54
250030405000020,8,11,22,16,11,3,11,5,0,2,0,0,0,0,11,9,6,2,2,0,3,6,3,5,0,2,4,2,3,1,1,0,0,1,0,0,0,0,0,111,31
